Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,
210191,Academy of Aesthetic Arts,10316 Shawnee Mission Pkwy,Shawnee,KS,66203,
102368,Academy of Art University,79 New Montgomery,San Francisco,CA,94105,
237446,Academy of Beauty Professionals,2575 West Mason Street,Green Bay,WI,54303,
237455,Academy of Beauty Professionals - Appleton,525 Westhill Boulevard,Appleton,WI,54914,
237464,Academy of Beauty Professionals - Madison,6414 Odana Road,Madison,WI,53717,
198163,Academy of Career Training,"3501 West Vine Street, Suite #111",Kissimmee,FL,,
149578,Academy of Careers and Technology,390 Stanaford Rd,Beckley,WV,25801,
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,94612,
183664,Academy of Computer Education,"7833 Walker Drive, Suite 520C",Greenbelt,MD,20770,
160463,Academy of Cosmetology,5117 Dorchester Road,North Charleston,SC,29418-5607,
171012,Academy of Cosmetology,1901 West William Cannon Drive,Austin,TX,78745,
191560,Academy of Cosmetology,2088 North Courtenay Parkway,Merritt Island,FL,32953,
211200,Academy of Cosmetology,2310 West Court Street,Janesville,WI,53545,
235556,Academy of Cosmetology and Esthetics,1419 West Austin Boulevard,Nevada,MO,64772,
126438,Academy of Cosmetology Inc,133 W Mendenhall,Bozeman,MT,59715-3544,
214670,"Academy of Cosmetology, L.L.C.",1368 Jadwin Avenue,Richland,WA,99354,
211219,Academy of Esthetics and Cosmetology,1242 San Fernando Road,San Fernando,CA,91340,
127237,Academy of Hair Design,"5191 W Charleston Blvd, Suite #150",Las Vegas,NV,89102,
155964,Academy of Hair Design,1815 Terry Rd,Jackson,MS,39204,
166045,Academy of Hair Design,512 S Chestnut,Lufkin,TX,75904,
166054,Academy of Hair Design,"3141 College, Suite A-10",Beaumont,TX,77701-4650,
167817,Academy of Hair Design #6,6552 U.S. Highway 49,Hattiesburg,MS,39401,
157650,Academy of Hair Design Four,3167 Hwy 80 E,Pearl,MS,39208,
116572,Academy of Hair Design Inc,115 S Fifth St,Salina,KS,67401,
137926,Academy of Hair Design Inc,305 Court NE,Salem,OR,97301,
124539,Academy of Hair Design Seven,215 HWY 35 N,Carthage,MS,39051,
175865,"Academy of Hair Design, Inc.",1834 South Glenstone Avenue,Springfield,MO,65804,
156514,Academy of Hair Technology,3715 E North St Ste F,Greenville,SC,29615-2363,
110006,Academy of Healing Arts Massage and Facial Skin Care,3141 S Military Tr,Lake Worth,FL,33463-2113,
229540,Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,98109,
238069,Academy of Interactive Entertainment Louisiana,"537 Cajundome Blvd., Ste. 211",Lafayette,LA,70506,
212799,Academy of Massage & Bodywork,"1218 Pulaski Highway, Suite 324",Bear,DE,19701,
167154,Academy of Massage Therapy - Hackensack,"321 Main Street, 2nd Floor",Hackensack,NJ,7601,
191968,Academy of Medical and Health Science Inc.,"1339 South Pueblo Blvd., Suite 100",Pueblo,CO,81005,
184074,Academy of Natural Therapy,625 8th Avenue,Greeley,CO,80631,
185244,Academy of Professional Careers - Winter Park,114 South Semoran Boulevard,Winter Park,FL,32792,
234191,Academy of Professional Cosmetology,"2600 West Hudson Road, Suite A",Rogers,AR,72756,
102401,Academy of Radio and Television Broadcasting,"16052 Beach Boulevard, Suite 263N",Huntington Beach,CA,92647,
155362,Academy of Radio and Television Broadcasting,"4914 E McDowell Road, Suite 107",Phoenix,AZ,85008,
236966,Academy of Salon & Spa,"3040 South Muskogee Avenue, Suite 105",Tahlequah,OK,74464,
102049,Academy of Salon and Spa,311 South 16th Street,Fort Smith,AR,72901,
227447,Academy of Salon Professionals LLC,2414 South Limit Avenue,Sedalia,MO,65301,
213330,Academy of Somatic Healing Arts (ASHA),6251 Smithpointe Drive,Norcross,GA,30092,
138664,Academy of Vocal Arts,1920 Spruce Street,Philadelphia,PA,19103,
102410,Academy Pacific Travel College,1777 N Vine St,Los Angeles,CA,90028-5218,
212212,"Acaydia Spa and School of Aesthetics, LLC","86 North University Avenue, Suite 130",Provo,UT,84601,
210216,Access Careers,"25 Elm Place, Suite #201",Brooklyn,NY,11201,
210225,Access Careers - Hempstead,"474 Fulton Avenue, Suite 201",Hempstead,NY,11550,
216551,Access Institute,80-02 Kew Gardens Road,Kew Gardens,NY,11415,
203988,Access International Business Institute,609 E. Liberty,Ann Arbor,MI,48104,
119766,Accutech Career Institute,5310 Spectrum Dr,Frederick,MD,21703,
228866,Ace Cosmetology & Barber Training Center,"625 Wolcott Street, Unit 7",Wolcott,CT,6705,
238148,ACE Institute of Technology,"308-312 West 36th Street, 2nd Floor",New York City,NY,10018,
162751,ACT College - Arlington,"1400 Key Boulevard, Suite 100",Arlington,VA,22209,
158149,Acupuncture and Integrative Medicine College - Berkeley,2550 Shattuck Ave,Berkeley,CA,94704,
168634,Acupuncture and Massage College,10506 N Kendall Dr,Miami,FL,33176,
192466,Adagio Health,"960 Penn Avenue, Suite 600",Pittsburgh,PA,15222-1417,
232919,Adams College of English,"3700 Wilshire Blvd, Suite 985",Los Angeles,CA,90010,
107248,Adams State University,208 Edgemont Blvd,Alamosa,CO,81102,
129251,Adelphi University,South Ave,Garden City,NY,11530-0701,
162919,Adirondack Beauty School,108 Dix Ave,Glens Falls,NY,12801-0000,
129260,Adirondack Community College,640 Bay Rd,Queensbury,NY,12804,
155928,Adler Graduate School,1550 East 78th Street,Richfield,MN,55423,
112288,Adler University,17 North Dearborn Street,Chicago,IL,60602,
239637,Adonis College of Nursing,1313 East Sibley Boulevard,Dolton,IL,60419,
122074,Adrian College,110 S Madison St,Adrian,MI,49221-2575,
178271,Adrian Dominican Montessori Teacher Education Institute,1257 E. Siena Heights Dr.,Adrian,MI,49221,
153384,Adrian's Beauty College of Turlock,1340 West Main,Turlock,CA,95380,
216506,Adult and Community Education,1426 19th Street,Vero Beach,FL,32960,
234650,"Adult and Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,43211,
178961,Adult and Continuing Education - Cleveland Extension,4600 Detroit Avenue,Cleveland,OH,44102,
135638,Adult Community Education Center,2323 Lexingron Avenue,Columbus,OH,43211,
134750,Adult Vocational Services,147 Park St,Akron,OH,44308-1979,
158909,Advance Beauty College,10121 Westminster Ave,Garden Grove,CA,92643,
190390,Advance Beauty College,202 East Main Street,Warrenton,MO,63383,
213224,Advance Beauty College Hannibal,23 Northport Plaza,Hannibal,MO,63401,
224642,Advance Beauty Techs Academy,"2191 Sampson Avenue, Suite 105",Corona,CA,92879,
